"[2023-09-23 14:10:09.608] 2299.91[rpm]	Before: 812414573[us]	After: 812466749[us]	Width: 52176[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 812467390 [us]	IGN_OFF: 812468404 [us]	INJ_ON: 812492355 [us]	INJ_OFF: 812493507 [us]"
"[2023-09-23 14:10:09.659] 2316.87[rpm]	Before: 812466749[us]	After: 812518543[us]	Width: 51794[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 812519161 [us]	IGN_OFF: 812520183 [us]	INJ_ON: 812543799 [us]	INJ_OFF: 812544952 [us]"
"[2023-09-23 14:10:09.710] 2348.01[rpm]	Before: 812518543[us]	After: 812569650[us]	Width: 51107[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 812570303 [us]	IGN_OFF: 812570000 [us]	INJ_ON: 812594712 [us]	INJ_OFF: 812595864 [us]"
"[2023-09-23 14:10:09.760] 2367.66[rpm]	Before: 812569650[us]	After: 812620333[us]	Width: 50683[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 812620974 [us]	IGN_OFF: 812621990 [us]	INJ_ON: 812645105 [us]	INJ_OFF: 812646258 [us]"
"[2023-09-23 14:10:09.811] 2393.39[rpm]	Before: 812620333[us]	After: 812670471[us]	Width: 50138[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 812671115 [us]	IGN_OFF: 812672132 [us]	INJ_ON: 812695101 [us]	INJ_OFF: 812696253 [us]"
"[2023-09-23 14:10:09.861] 2406.16[rpm]	Before: 812670471[us]	After: 812720343[us]	Width: 49872[us]	INJ: 1.0[ms]	IGN: 5[CA] 	IGN_ON: 812720975 [us]	IGN_OFF: 812721990 [us]	INJ_ON: 812744695 [us]	INJ_OFF: 812744002 [us]"
"[2023-09-23 14:10:09.911] 2437.69[rpm]	Before: 812720343[us]	After: 812769570[us]	Width: 49227[us]	INJ: 1.0[ms]	IGN: 5[CA] 	IGN_ON: 812770182 [us]	IGN_OFF: 812771201 [us]	INJ_ON: 812793689 [us]	INJ_OFF: 812794698 [us]"
"[2023-09-23 14:10:09.960] 2460.13[rpm]	Before: 812769570[us]	After: 812818348[us]	Width: 48778[us]	INJ: 1.0[ms]	IGN: 5[CA] 	IGN_ON: 812818977 [us]	IGN_OFF: 812819992 [us]	INJ_ON: 812842215 [us]	INJ_OFF: 812843226 [us]"
"[2023-09-23 14:10:10.009] 2482.01[rpm]	Before: 812818348[us]	After: 812866696[us]	Width: 48348[us]	INJ: 1.0[ms]	IGN: 5[CA] 	IGN_ON: 812867336 [us]	IGN_OFF: 812868352 [us]	INJ_ON: 812890357 [us]	INJ_OFF: 812891370 [us]"
"[2023-09-23 14:10:10.056] 2503.65[rpm]	Before: 812866696[us]	After: 812914626[us]	Width: 47930[us]	INJ: 1.0[ms]	IGN: 5[CA] 	IGN_ON: 812914614 [us]	IGN_OFF: 812915615 [us]	INJ_ON: 812938081 [us]	INJ_OFF: 812939090 [us]"
"[2023-09-23 14:10:10.103] 2527.17[rpm]	Before: 812914626[us]	After: 812962110[us]	Width: 47484[us]	INJ: 1.0[ms]	IGN: 5[CA] 	IGN_ON: 812962098 [us]	IGN_OFF: 812963098 [us]	INJ_ON: 812985390 [us]	INJ_OFF: 812986402 [us]"
